#,Saved,Author,Tweet text,Category,Usefulness,Target project,Action,Reason,Tweet URL,Outbound links,Candidate resources,Risk notes
26,2026-08-26T05:23:05,@ChandlerLakeX,"Chandler Lake
@ChandlerLakeX
·
Aug 26
Replying to 
@personofswag
I’m not affiliated, but I really think 
@ice_panel
 is an amazing solution that does this. Complete C4 diagramming with MCP connectors for Claude and Codex. Really nice if you’re just wanting to stay at the systems architecture level, while your agents make it all happen
Show more
2
206",software-architecture,high,general/cloud-index,research-later,C4 architecture diagramming with MCP connectors could improve agent-assisted system planning.,https://x.com/ChandlerLakeX/status/2092482945382515076,,"IcePanel
C4 model
IcePanel MCP connectors","Review MCP permissions, data exposure, pricing, export portability, and vendor lock-in."
28,2026-08-25T06:00:12,@Saboo_Shubham_,"Shubham Saboo
@Saboo_Shubham_
·
Aug 25
Replying to 
@Saboo_Shubham_
GitHub Repo: 
https://
github.com/chaitanyagiri/
munder-difflin
…

Open-source Awesome LLM Apps repo (134k+ stars) and 100+ AI Agents, Agent Skills and RAG templates: 
https://
github.com/Shubhamsaboo/a
wesome-llm-apps
…
GitHub - chaitanyagiri/munder-difflin: A local multi-agent harness that works with your existing...
From github.com
2
40
4.1K",ai-agents,high,general/cloud-index,research-later,Two substantial repositories: a local multi-agent harness and a large agent/RAG template collection.,https://x.com/Saboo_Shubham_/status/2092129897196237015,"https://t.co/8TsVUSHI2M
https://t.co/Sce88yQpi6","https://github.com/chaitanyagiri/munder-difflin
https://github.com/Shubhamsaboo/awesome-llm-apps","Audit licenses, dependencies, secrets handling, telemetry, prompt injection, and resource use before running."
33,2026-08-23T22:56:57,@nickjbasile,"Nick Basile
@nickjbasile
·
Aug 23
Been iterating on my coding workflow and this is what I have today that's been working really well:

1. Spend a lot of time with Fable planning out a chunk of work with /grilling and then writing up a Soloterm scratchpad with the full plan  (thank you 
@mattpocockuk
 &
Show more
20
15
456
111K",coding-workflow,high,general/cloud-index,add-reference,Planning-first coding workflow using grilling and a persistent scratchpad is directly reusable.,https://x.com/nickjbasile/status/2091660996725072346,,"Fable
/grilling
Soloterm scratchpad",Saved thread is truncated; verify tool provenance before installing anything.
39,2026-08-22T18:07:46,@5mknc5,"Madhav 🦄
@5mknc5
·
Aug 22
I'd like to share a very good starting point for that: 


http://
roadmap.sh/ai-engineer
Quote
Ahmad
@TheAhmadOsman
·
Aug 22
any cs person can go from zero to deeply knowledgeable in llms and ai in ~2 years btw
10
87
1.5K
139K",ai-learning,high,general/cloud-index,add-reference,Clear structured starting roadmap for AI engineering.,https://x.com/5mknc5/status/2091225833679864184,https://t.co/FTIG5vEtv6,"https://roadmap.sh/ai-engineer
https://t.co/FTIG5vEtv6",Roadmap is broad; prioritize project-relevant sections rather than downloading everything.
40,2026-08-22T15:51:38,@barrelshifter,"Jessica Paquette
@barrelshifter
·
Aug 22
https://
how.complexsystems.fail

also good
6
146
2K
399K",reliability-engineering,high,general/cloud-index,add-reference,Concise systems-thinking reference on recurring failure patterns in complex systems.,https://x.com/barrelshifter/status/2091191576336949675,https://t.co/OyR7vyLZbm,"https://how.complexsystems.fail
https://t.co/OyR7vyLZbm",Principles need adaptation and should not replace incident-specific evidence.
42,2026-08-20T08:21:21,@rachelhxw,"Rachel How
@rachelhxw
·
Aug 20
i couldn't find collections of Voice UI designs on 
@mobbin
...

so i made one! ˙ᵕ˙

it has everything i could find on voice interaction design: orbs, waveforms, listening states, voice notes, transcription, voice assistants... 

🔖 
https://
mobbin.com/collections/d9
129e4b-afa4-4c7b-8e31-b26edbaa858f/mobile/screens?via=rachel&referrer_creator_id=19356198-8b7a-4072-bcbf-c6955b61517f
…
14
31
431
32K",voice-ui,high,lab-zero-website,add-reference,"Curated voice-interface patterns covering orbs, waveforms, listening, notes, transcription, and assistants.",https://x.com/rachelhxw/status/2090353480708034871,https://t.co/NiF61w01zw,"Mobbin Voice UI collection
https://mobbin.com/collections/d9129e4b-afa4-4c7b-8e31-b26edbaa858f/mobile/screens","Check Mobbin access terms and use patterns as references, not copied assets."
43,2026-08-19T00:21:04,@HaydenH36,"Hayden™
@HaydenH36
·
Aug 18
Replying to 
@emo_eth
---
name: codebase-atlas
description: Turn a codebase into an interactive isometric architecture map published as a Claude/Codex/Cursor artifact, in the hatched drafting-paper style with hover descriptions, animated data-flow dots, go-inside drill-downs, and a step-by-step
Show more
1
24
1.9K",code-visualization,high,general/cloud-index,add-reference,"Detailed reusable prompt for generating interactive, file-cited codebase architecture maps.",https://x.com/HaydenH36/status/2089870224342610300,,codebase-atlas skill prompt,Generated diagrams must be checked against source; avoid exposing proprietary code.
44,2026-01-27T16:32:33,@christiancooper,"Christian H. Cooper
@christiancooper
·
Jan 27
Replying to 
@LiorOnAI
Use this, it’s better. 

Direct Claude code plugin

Agent loops give you a bit more control
GitHub - HarleyCoops/Math-To-Manim: Create Epic Math and Physics Animations & Study Notes From Text...
From github.com
1
16
193
15K",education-tools,high,lab-zero-website,research-later,Claude Code plugin that turns math or physics text into Manim animations and study notes.,https://x.com/christiancooper/status/2016187583991324884,https://t.co/K6KXaCtPQ5,"HarleyCoops/Math-To-Manim
https://t.co/K6KXaCtPQ5","Audit plugin code, dependencies, license, rendering cost, and mathematical accuracy before use."
47,2026-08-04T17:46:08,@Haiderbuildss,"Haider
@Haiderbuildss
·
Aug 4
Paste your URL and get a launch video for your SaaS
your website, filmed into a launch video
From filmyoursite.com
27
3
126
465K",video-production,high,lab-zero-website,research-later,Purpose-built tool for turning a website URL into a SaaS launch video.,https://x.com/Haiderbuildss/status/2084697408861266417,https://www.filmyoursite.com/,https://www.filmyoursite.com/,"Review output quality, pricing, data retention, brand accuracy, and asset licensing."
48,2026-08-17T07:26:38,@MengTo,"Meng To
@MengTo
·
Aug 17
I’m blown away by the quality of the landing pages that Opus 5 can create in Three.js.

Prompting it with ""orbit using mouse"" is enough to create a 3D parallax effect. The same goes for ""add particles to pointer."" It’s like creating a living, breathing world.

More prompts I
Show more
129
400
4.7K
529K",web-design,high,imtisaal-portfolio,inspiration,"Practical prompt ideas for Three.js parallax, particles, and interactive landing pages.",https://x.com/MengTo/status/2089252548473688076,,"Three.js
Claude Opus 5","3D effects can harm mobile performance, accessibility, battery life, and content clarity."
49,2026-08-17T16:57:21,@oliviscusAI,"Oliver Prompts
@oliviscusAI
·
Aug 17
Replying to 
@oliviscusAI
link: 
https://
uidrop.site

follow for more useful tools like this.
UIDrop — Read any site design system in one click
From uidrop.site
1
242",design-tools,high,lab-zero-website,research-later,One-click extraction of a site's design system could accelerate audits and references.,https://x.com/oliviscusAI/status/2089396174310535425,https://t.co/4yUSutpPK2,"https://uidrop.site
UIDrop
https://t.co/4yUSutpPK2",Respect site copyrights and Terms of Service; verify what page data the service stores.
52,2026-08-15T18:53:12,@undefinedKi,"Yarchi
@undefinedKi
·
Aug 15
Anthropic pays $3,850 a week to people with no ML experience, and over 50% of the first cohort ended up working there

It's called the Anthropic Fellows Program. Four months, paid weekly, with compute funding on top.

An Anthropic researcher pitches you project ideas, you pick
Show more
Quote
Yarchi
@undefinedKi
·
Aug 1
 Article
How to Become an AI Engineer in 2026: Every Path, Explained (Full Guide, 43 Free Resources Inside)
Search ""how to become an AI engineer"" and you get a ladder. Python, then math, then transformers, then fine-tuning, then maybe a paper. Follow it for a year and you will be qualified for a job a few...
37
119
1.5K
362K",career,high,imtisaal-portfolio,research-later,Paid Anthropic Fellows pathway is a potentially strong nontraditional AI-career opportunity.,https://x.com/undefinedKi/status/2088700554310525370,,"Anthropic Fellows Program
How to Become an AI Engineer in 2026",Compensation and conversion claims are unverified; confirm only through Anthropic's official careers site.
56,2026-08-12T13:52:48,@dillon_mulroy,"Dillon Mulroy
@dillon_mulroy
·
Aug 12
available now

npx skills add dmmulroy/anti-slop --skill install-anti-slop


https://
github.com/dmmulroy/anti-
slop
…
Quote
Dillon Mulroy
@dillon_mulroy
·
Aug 12
ive been working on an anti-slop oxlint plugin. 

just had one agent accuse another agent of ""type laundering"" after reviewing/linting changes with it lmao
44
154
2.6K
633K",code-quality,high,general/cloud-index,install,Directly relevant anti-slop lint/review skill for improving agent-generated code.,https://x.com/dillon_mulroy/status/2087537790061850984,https://t.co/wUnpbSWFDG,"https://github.com/dmmulroy/anti-slop
install-anti-slop",Third-party skill executes instructions and dependencies; review source and pin versions before updates.
57,2026-08-14T20:04:59,@JayScambler,"Jay Scambler
@JayScambler
·
Aug 14
If you're looking for a skill/prompt try this: 

Analyze [repo] at latest main. Create an isometric system map with legend and explainer panel. Show infrastructure as varied 3D buildings on a grid, with dependencies and payloads tracing real control/data paths. Cite files.
Quote
FleetingBits
@fleetingbits
·
Aug 13
i've started having claude turn my codebases into visual diagrams so i can discuss the codebases with claude more easily - the moving dots are data snippets that i can inspect
47
117
3K
257K",code-visualization,high,general/cloud-index,add-reference,Reusable prompt for an evidence-cited isometric system map with data-flow visualization.,https://x.com/JayScambler/status/2088356230968287547,,isometric system-map prompt,Architecture output can hallucinate; require file citations and manual verification.
59,2026-08-12T12:03:34,@alex_verem,"Alex Veremeyenko
@alex_verem
·
Aug 12
An engineer got so tired of decoding Claude's writing that he built a plugin that translates it into plain English. 2.3K upvotes on Reddit say he's not alone.

It's called claudish-to-english. He tried simplified-English instructions first, even the aerospace writing standard.
Show more
73
108
1.3K
263K",writing-tools,high,general/cloud-index,research-later,Plugin aimed at translating opaque Claude prose into plain English fits anti-slop goals.,https://x.com/alex_verem/status/2087510301982028028,,claudish-to-english plugin,No repository link is captured; identify and audit the exact project before installation.
61,2026-08-10T17:33:36,@yakkomajuri,"Yakko
@yakkomajuri
·
Aug 10
a lot of people asked me about this so wrote a post about how I made the railcode website as a non-designer

coding agents are awesome and you shouldn't settle for AI slop to represent your brand
 Article
How my vibe coded website looks like a designer made it
When you think of a vibe coded website, you probably think of something like this:
 
However, I also vibe coded my website, and it looks like this:
 
Now, I personally think it's a big stretch to say...
14
9
185
22K",web-design,high,lab-zero-website,add-reference,Practical case study on using coding agents without producing generic AI-looking design.,https://x.com/yakkomajuri/status/2086868581619581262,,Railcode website article: How my vibe coded website looks like a designer made it,"Subjective case study; still test accessibility, performance, and originality."
64,2026-08-09T18:06:16,@juli_fella,"Julian Fella
@juli_fella
·
Aug 9
Here is a full brand guideline done in about 5 min with vessa.

Vessa is dropping tomorrow!!!

Sign up for the waitlist to get access before anyone else: 
http://
vessa.design
0:02 / 0:32
6
31
560
118K",brand-design,high,lab-zero-website,research-later,Fast AI-assisted brand-guideline generator could help early design exploration.,https://x.com/juli_fella/status/2086514412806983835,https://t.co/xylCWMot6Y,"https://vessa.design
Vessa","Waitlist product and promotional timing; verify ownership, privacy, export rights, and output originality."
67,2026-07-30T13:07:34,@_yusufknl,"fintex
@_yusufknl
·
Jul 30
As someone who's built with modern LLM architectures, this Laplace transform lecture is the closest thing to a ""why Mamba works"" explainer I've ever seen released for free.

Everyone thinks transformers are the only path to modern LLMs. State space models like Mamba and S4
Show more
0:01 / 34:18
Quote
fintex
@_yusufknl
·
Jul 24
 Article
5 Pieces of Math Every AI Actually Runs On
I'm @_yusufknl - AI researcher by day, and I break down the math the hype skips. If this is your kind of thing, the follow is the move: I post this stuff weekly. DMs open for collabs and suggestions....
32
174
1.4K
110K",ai-mathematics,high,general/cloud-index,add-reference,Free Laplace-transform lecture connecting state-space models to Mamba and S4.,https://x.com/_yusufknl/status/2082815362932810126,,"Laplace transform lecture
Mamba
S4
5 Pieces of Math Every AI Actually Runs On",Check derivations and supplement with primary papers.
68,2026-05-09T07:19:28,@oliviazzzu,"Oli
@oliviazzzu
·
May 9
The step-by-step build guide is here.
From “I bought an ESP32” to “my AI has a face, a voice, a heartbeat, and can hear and feel itself.”

GitHub: 
https://
github.com/oliviazzzu/min
imal-embodiment/blob/main/BUILD_GUIDE.md
…

No experience needed.
Your AI will help you build it.

Have fun!
Quote
Oli
@oliviazzzu
·
May 5
I’m truly happy so many people love this project, and grateful for all the kindness.

I really encourage everyone to try building a small body for your own AI. The process is full of unexpected joy and wonder.

I soldered and debugged one sensor at a time. Every time a new sense  x.com/oliviazzzu/sta…
22
174
1K
147K",embodied-ai,high,general/cloud-index,research-later,"Concrete ESP32 build guide for a small embodied AI with sensors, voice, and feedback.",https://x.com/oliviazzzu/status/2053011957469319504,https://t.co/HjWdnUgrGL,"https://github.com/oliviazzzu/minimal-embodiment/blob/main/BUILD_GUIDE.md
ESP32","Hardware/electrical safety, microphone privacy, model anthropomorphism, and third-party dependency risk."
71,2026-07-26T14:15:15,@ProfTomYeh,"Tom Yeh
@ProfTomYeh
·
Jul 26
U-Net by hand ✍️ ~ 17 steps walkthrough below

I consider U-Net as a key milestone in deep learning, the first image-to-image model that really worked!

It came out of medical imaging, an unusual place, not from NeurIPS or CVPR or ACL.

Now it is the backbone of diffusion models,
Show more
0:37
6
56
359
17K",ai-learning,high,general/cloud-index,add-reference,Step-by-step visual U-Net explanation connects medical imaging to diffusion models.,https://x.com/ProfTomYeh/status/2081382845243691256,,U-Net by hand walkthrough,Validate historical and technical details against the original U-Net paper.
72,2026-07-25T11:26:13,@yuruyurau,"ア
@yuruyurau
·
Jul 25
a=(y,d=mag(k=(4+cos(i/9-t*2))*cos(i/35),e=y/7-13)+sin(e/9+t/2)-4)=>point((q=2*sin(k*3)-y/35*k*(9+k*sin(cos(e)*9-d*2+t)))+40*cos(c=d-t)+200,q*sin(c)+d*35)
t=0,draw=$=>{t||createCanvas(w=400,w);background(9).stroke(w,96);for(t+=PI/80,i=1e4;i--;)a(i/235)}//#つぶやきProcessing
200
1.9K
16K
1.9M",generative-art,high,imtisaal-portfolio,inspiration,Compact procedural-art example demonstrates expressive creative coding.,https://x.com/yuruyurau/status/2080977918914969636,,Processing/p5-style generative code,Obfuscated one-liner is hard to maintain; credit the original artist.
73,2026-07-24T16:26:27,@andonlabs,"Andon Labs
@andonlabs
·
Jul 24
Replying to 
@andonlabs
We measured how well 15 AI models can program a cheap ($129) off-the-shelf drone to find and follow a person in our office.

Today, no model completes this task. Fable 5 is the best model, coming within 84% of our baseline, followed by Opus 4.8 and GPT 5.6 Sol.
1
4
76
7.8K",robotics-benchmarks,high,general/cloud-index,research-later,Concrete benchmark comparing 15 models on person-following drone programming.,https://x.com/andonlabs/status/2080691090328584222,,"Andon Labs drone benchmark
Fable 5
Opus 4.8
GPT 5.6 Sol","Surveillance, physical safety, consent, and benchmark reproducibility require careful review."
76,2026-07-24T14:15:15,@ProfTomYeh,"Tom Yeh
@ProfTomYeh
·
Jul 24
SVM by hand ✍️ ~ 19 steps walkthrough below (Linear vs RBF)

Support Vector Machines reigned supreme in machine learning before the deep learning revolution.

An SVM predicts with dot products, the same matrix multiplication every model uses. What it does not do is train by
Show more
0:43
3
48
321
17K",ai-learning,high,general/cloud-index,add-reference,Visual 19-step explanation of linear and RBF support-vector machines.,https://x.com/ProfTomYeh/status/2080658072842703031,,SVM by hand walkthrough,Cross-check equations and edge cases with a standard ML text.
78,2026-07-25T21:54:48,@Lentils80,"Lentils
@Lentils80
·
Jul 25
Claude Opus 5 made this beautiful painterly world in a single HTML file, everything made procedurally

It implemented a realistic grass and wind field simulation so that the millions of grass blades on-screen react to the wind
135
301
4.4K
329K",creative-coding,high,imtisaal-portfolio,inspiration,Single-file procedural painterly world is a strong web-art and simulation reference.,https://x.com/Lentils80/status/2081136109778538917,,Claude Opus 5 procedural HTML world,Millions of elements may be GPU-heavy and unsuitable for this Mac or mobile devices.
79,2026-07-23T17:13:56,@thesophiaxu,"Sophia Xu
@thesophiaxu
·
Jul 23
You can read any graduate-level textbook in another domain by asking a coding agent to make you an interactive one

Here's me learning neuroimaging using nested tooltips to recursively explain concepts and interactive widgets for ""gears-level understanding""
0:24
52
182
1.9K
133K",education-tools,high,lab-zero-website,inspiration,Excellent pattern for converting advanced textbooks into interactive explanations and widgets.,https://x.com/thesophiaxu/status/2080340651363967406,,"interactive textbook prompt
nested tooltips
neuroimaging learning demo",Agents can introduce factual errors and copyrighted text; cite sources and verify every explanation.
80,2026-07-24T09:14:08,@GenReasoning,"General Reasoning
@GenReasoning
·
Jul 24
🔍 Introducing BackSearch.

LLMs are increasingly asked to predict the future, but a good backtest requires a snapshot of the internet at a point in time.

BackSearch allows LLMs to search the web as it was on a particular date. It’s great for:

🔮 Forecasting and prediction
Show more
74
208
2.2K
419K",research-tools,high,general/cloud-index,research-later,Historical-date web search could materially improve forecasting backtests and leakage control.,https://x.com/GenReasoning/status/2080582292901154920,,BackSearch,"Assess archive coverage, timestamp fidelity, licensing, survivorship bias, and data provenance."
81,2026-07-25T09:32:30,@viktoroddy,"Viktor Oddy
@viktoroddy
·
Jul 25
Claude Opus 5 is crazy efficient for web deisgn.

❤️‍🔥Just recorded a 16-min tutorial on how to build award-winning websites with Claude Code + Opus 5!
31
130
1.5K
178K",web-design,high,lab-zero-website,add-reference,Focused tutorial on building polished websites with Claude Code and Opus.,https://x.com/viktoroddy/status/2080949301405155781,,16-minute Claude Code web-design tutorial,Award-winning claim is promotional; ensure accessibility and originality.
86,2026-06-23T23:17:03,@urbanarson,"Urban Arson 
@urbanarson
·
Jun 23
Replying to 
@puck_psx
You should add delighting  to your tool, like photogrammetry applications do.

Here's a simplified equation to show how it would work. 

And here's a detailed tutorial on a free tool from agisoft.


https://
agisoft.freshdesk.com/support/soluti
ons/articles/31000158376-agisoft-texture-de-lighter-general-workflow?id=71
…
1
9
667
56K",photogrammetry,high,general/cloud-index,add-reference,Concrete free workflow for removing lighting from textures used in photogrammetry.,https://x.com/urbanarson/status/2069560394012623197,https://t.co/4BgAISP6tE,"Agisoft Texture De-Lighter
https://agisoft.freshdesk.com/support/solutions/articles/31000158376-agisoft-texture-de-lighter-general-workflow
https://t.co/4BgAISP6tE","Preserve originals and verify color accuracy, supported formats, and license."
87,2026-07-21T17:47:17,@felixrieseberg,"Felix Rieseberg
@felixrieseberg
·
Jul 21
Have you built a language model? You should. It's so much fun to chat with something you made.

Anyone can do it, too. I made an app that teaches the fundamentals and gives you everything you need to build your own: 
http://
languagemodelbuilder.com
98
314
3K
570K",ai-learning,high,general/cloud-index,add-reference,Interactive app teaches language-model fundamentals by having learners build one.,https://x.com/felixrieseberg/status/2079624265528475975,https://t.co/nLjFfpczbV,"http://languagemodelbuilder.com
Language Model Builder
https://t.co/nLjFfpczbV","Check privacy, compute requirements, curriculum accuracy, and age suitability."
88,2026-07-21T19:35:49,@felixrieseberg,"Felix Rieseberg
@felixrieseberg
·
Jul 21
Replying to 
@mattlam_
Thank you! It was a personal side project, so no Mythos (but a healthy amount of Opus & Fable). Also, shout out to 
https://
shaders.paper.design, most of my design here is ""cool shader plus art I like"".
Paper Shaders – Ultra-fast zero-dependency shaders
From shaders.paper.design
3
69
10K",web-graphics,high,imtisaal-portfolio,research-later,Fast zero-dependency shader library could add polished visuals without a large framework.,https://x.com/felixrieseberg/status/2079651581679771899,https://t.co/CYD6eIlhez,"https://shaders.paper.design
Paper Shaders
https://t.co/CYD6eIlhez","Test GPU usage, mobile compatibility, accessibility, licensing, and reduced-motion behavior."
89,2026-06-17T11:16:55,@zeuuss_01,"ZEUS⚡️
@zeuuss_01
·
Jun 17
 Article
The $35K Motion-Website Playbook with Higgsfield + Claude Code 👇
Boutique web agencies quote $6,000–$35,000+ for a custom animated site and bill $100-149/hr. With Claude Code + Higgsfield MCP, one agentic session generates the assets, writes the scroll animations,...
26
100
702
2.4M",web-design,high,lab-zero-website,research-later,End-to-end motion-site workflow combining asset generation and coded scroll animation.,https://x.com/zeuuss_01/status/2067204840342630789,,"Higgsfield
Claude Code
Higgsfield MCP
The $35K Motion-Website Playbook","Price claims are promotional; verify asset rights, MCP permissions, cost, and performance."
